User_ID,Completed,Time_Spent_Hours,Course_Type,Age,Device_Used
1,No,14.92203121,Creative,31,Tablet
2,No,16.46483279,Creative,24,Desktop
3,Yes,8.50436151,Technical,39,Mobile
4,No,15.36793096,Business,37,Desktop
5,No,17.14843416,Business,49,Tablet
6,No,14.77401508,Technical,39,Desktop
7,Yes,21.58535225,Technical,37,Desktop
8,No,25.29854623,Creative,29,Desktop
9,Yes,24.87891443,Business,49,Tablet
10,Yes,15.30031574,Creative,49,Desktop
11,Yes,16.49777311,Creative,58,Desktop
12,No,17.59009893,Creative,53,Tablet
13,No,14.77464844,Technical,31,Desktop
14,Yes,6.563668802,Technical,45,Tablet
15,No,18.85584901,Business,51,Desktop
16,No,15.7304881,Business,59,Desktop
17,Yes,13.63017127,Technical,23,Tablet
18,Yes,19.94392298,Creative,34,Desktop
19,Yes,15.43659753,Creative,33,Tablet
20,Yes,14.38055256,Creative,19,Tablet
21,Yes,18.43572032,Creative,27,Desktop
22,No,18.45395094,Business,56,Desktop
23,No,20.35079231,Business,24,Tablet
24,Yes,11.26169613,Business,38,Desktop
25,No,9.630233253,Business,57,Tablet
26,Yes,16.98466358,Technical,24,Mobile
27,Yes,11.50701217,Business,34,Mobile
28,No,19.65309153,Technical,59,Tablet
29,Yes,9.29035467,Business,30,Desktop
30,Yes,3.937272282,Creative,21,Tablet
31,No,14.38608164,Business,57,Mobile
32,Yes,20.02572928,Creative,58,Mobile
33,Yes,15.78816445,Creative,19,Mobile
34,Yes,8.302132,Business,23,Desktop
35,No,14.71917572,Technical,32,Mobile
36,Yes,18.77453983,Creative,26,Mobile
37,Yes,20.58443132,Business,40,Tablet
38,Yes,13.90065284,Business,22,Tablet
39,No,12.39364982,Technical,59,Tablet
40,Yes,8.469621491,Business,19,Desktop
41,No,12.18299764,Creative,59,Tablet
42,No,19.16993708,Business,22,Desktop
43,No,10.33218368,Business,39,Desktop
44,No,20.59619681,Technical,50,Desktop
45,Yes,10.19657648,Creative,31,Mobile
46,No,25.01603498,Business,52,Tablet
47,Yes,15.92139079,Business,39,Tablet
48,No,16.38951299,Technical,36,Mobile
49,No,4.442967036,Technical,25,Mobile
50,Yes,21.54926512,Creative,52,Desktop
51,Yes,7.854719708,Business,34,Desktop
52,No,22.48756976,Creative,24,Mobile
53,Yes,18.50141535,Technical,18,Desktop
54,Yes,12.86151689,Creative,27,Mobile
55,No,13.53397191,Creative,49,Tablet
56,Yes,21.79045287,Technical,34,Desktop
57,Yes,22.08709591,Creative,24,Desktop
58,Yes,24.36313975,Creative,43,Desktop
59,Yes,5.110268944,Business,44,Tablet
60,Yes,20.63470048,Business,35,Desktop
61,Yes,12.70073145,Business,50,Mobile
62,No,21.07320563,Business,49,Desktop
63,No,11.59607104,Technical,45,Desktop
64,No,18.95033319,Technical,32,Mobile
65,Yes,13.52611662,Business,50,Tablet
66,No,19.65249953,Technical,58,Mobile
